movie_title,PC_1,PC_2
Jack and Jill,-0.179336114,-0.225710404
Get Over It,-0.180908508,0.000241461
The Mighty Ducks,-0.181142803,0.099320196
Romeo Is Bleeding,-0.181720762,0.108219873
42nd Street,-0.183842169,0.440556504
10th & Wolf,-0.184031383,0.037945036
Blue Like Jazz,-0.184938862,-0.015940899
The Robe,-0.186327087,0.315224307
Dr. Dolittle 2,-0.18891281,-0.087771206
Opal Dream,-0.190212986,0.04684516
Welcome to Mooseport,-0.192413432,-0.043966957
Shade,-0.193658757,0.050132477
Agent Cody Banks,-0.193943422,-0.055777152
DOA: Dead or Alive,-0.194810859,-0.098737243
Bran Nue Dae,-0.195462804,0.007793308
Love Ranch,-0.195929408,-0.026352615
Mighty Joe Young,-0.196913743,0.02721802
The Basket,-0.197012275,0.082974535
Nomad: The Warrior,-0.197710481,0.022363015
The Good Night,-0.198185594,-0.007318652
Man of the House,-0.198754302,-0.033791318
Broken Vessels,-0.200182755,0.088740779
The Golden Child,-0.2004527,0.095700039
Tomcats,-0.201730463,-0.026085776
How to Deal,-0.202554049,0.002771253
Paul Blart: Mall Cop 2,-0.202761614,-0.151106201
Slow Burn,-0.202914669,0.003535406
The Juror,-0.204231674,0.038222245
Hardflip,-0.206330698,-0.034314065
Bubble Boy,-0.207187651,-0.000524437
Madea's Family Reunion,-0.209040279,-0.058043901
Love Stinks,-0.210885584,0.025560131
Rapa Nui,-0.21090668,0.107218578
Littleman,-0.212104489,-0.103493146
Strange Wilderness,-0.212358364,-0.055474272
Harley Davidson and the Marlboro Man,-0.212588104,0.082342218
Loaded Weapon 1,-0.213143463,0.079330405
Safe Men,-0.213611227,0.054644965
Our Family Wedding,-0.213798284,-0.089395376
Alex Rider: Operation Stormbreaker,-0.215018268,-0.057074169
Aloft,-0.21567992,-0.075619801
A Sound of Thunder,-0.215891867,-0.120750079
Critical Care,-0.215899196,0.059845855
Showdown in Little Tokyo,-0.217151643,0.074226716
Head Over Heels,-0.217529433,-0.016322162
Inspector Gadget,-0.217801655,-0.085699852
The Crew,-0.218193277,0.003200871
Boomerang,-0.218988505,0.051271188
Say It Isn't So,-0.220979531,-0.052834112
People I Know,-0.221659961,-0.002008669
D.E.B.S.,-0.222474689,-0.030523602
The Brothers Solomon,-0.223585164,-0.043819982
The Ten,-0.223860257,-0.061505755
Hanging Up,-0.224303788,-0.061241296
Sgt. Bilko,-0.224790051,0.043343979
xXx: State of the Union,-0.227405155,-0.09752948
Crocodile Dundee in Los Angeles,-0.228330637,-0.051798741
Urban Legends: Final Cut,-0.228517818,-0.103707754
Jade,-0.228660481,0.024730684
Good Boy!,-0.228670806,-0.041548047
Invaders from Mars,-0.229415359,0.081691066
Boat Trip,-0.229478406,-0.047060265
Down to You,-0.229514572,-0.040266503
The Phantom,-0.229974193,-0.015219675
The Sticky Fingers of Time,-0.231281288,0.080522409
Holy Man,-0.232145737,-0.016632644
The 5th Quarter,-0.23256846,-0.01832373
Summer Catch,-0.233813692,-0.032593649
Here on Earth,-0.235344888,-0.017503615
Confessions of a Teenage Drama Queen,-0.236313864,-0.084459666
Teenage Mutant Ninja Turtles III,-0.238327283,-0.008875817
Why Did I Get Married Too?,-0.239780941,-0.103606426
Inescapable,-0.241001691,-0.062882163
Mercy Streets,-0.243575765,0.031488705
Wing Commander,-0.244989464,-0.085974377
Spy Hard,-0.247190677,0.016271588
Straight Out of Brooklyn,-0.254638969,0.089317936
Striptease,-0.256388177,-0.037521315
College,-0.25926891,-0.081632144
Feardotcom,-0.260616829,-0.15359424
Poltergeist III,-0.261603149,-0.002118511
Warlock: The Armageddon,-0.261836448,0.043390155
Sweet Sweetback's Baadasssss Song,-0.262923957,0.153669147
The In Crowd,-0.263796113,-0.041490298
90 Minutes in Heaven,-0.264943162,-0.090749191
On Deadly Ground,-0.265053611,-0.028303364
Zoom,-0.268591857,-0.11073617
I Want Your Money,-0.272246989,-0.042004773
Shadow Conspiracy,-0.272378477,0.005121904
Doug's 1st Movie,-0.273854569,-0.013829333
Black Nativity,-0.274157706,-0.112987785
Return to the Blue Lagoon,-0.277314212,0.047005001
Bats,-0.278363089,-0.118994163
Dance Flick,-0.279718279,-0.168944237
The Adventures of Pluto Nash,-0.281969195,-0.107275198
The Wash,-0.285395537,-0.03752592
Raise the Titanic,-0.287119373,0.073698683
Sphinx,-0.288182702,0.113638045
Soul Survivors,-0.293890366,-0.098741674
Megiddo: The Omega Code 2,-0.306073666,-0.057851334
Dudley Do-Right,-0.316927499,-0.08743656
The Omega Code,-0.319314843,-0.093574118
3 Ninjas Kick Back,-0.324594193,-0.009690705
3 Strikes,-0.325009996,-0.067963827
An Alan Smithee Film: Burn Hollywood Burn,-0.346933238,-0.080077809
Fascination,-0.355944855,-0.112283518
Chairman of the Board,-0.414667624,-0.140830101
