movie_title,MDS_1,MDS_2
Star Trek Beyond,0.366888676,0.09164499
The Sum of All Fears,0.869910778,0.192083554
The Infiltrator,1.501212938,0.329191058
Dragonball: Evolution,-2.525013499,-3.350792945
Kansas City,1.473014527,0.630225637
The Four Feathers,1.418928079,0.33588592
Mickey Blue Eyes,1.507371551,-0.041114673
Diary of the Dead,0.37590847,-0.632314129
Deuce Bigalow: European Gigolo,0.859274152,-1.250889431
Hollow Man,0.870840328,-0.181477564
3:10 to Yuma,0.309889671,0.638787152
Message in a Bottle,1.368205426,0.238812853
Mission: Impossible II,-0.999398862,-0.055216217
Are We There Yet?,0.755452566,-1.365524892
The Shawshank Redemption,-12.9256408,2.764418311
They Live,0.226921815,1.074390405
Kangaroo Jack,0.642922633,-1.458002753
Everyone Says I Love You,-3.342566717,1.21303692
All the Queen's Men,0.776511911,-1.514992444
Boiler Room,1.224799989,0.616647083
Birthday Girl,1.438343765,0.018603875
Full Frontal,1.041298098,-1.047503227
Michael Clayton,0.385416046,0.376570383
Behind Enemy Lines,1.332560643,0.243105849
Stolen Summer,1.508567357,0.330877633
Gangster Squad,-0.479039355,-0.476588865
Things to Do in Denver When You're Dead,1.21765164,0.867530857
Take the Lead,1.44608168,0.29842699
The Great Raid,1.420405323,0.403844062
Bridget Jones: The Edge of Reason,1.381077752,-0.189957885
Don Juan DeMarco,0.97153034,1.056859203
The Beyond,-0.140650375,1.077893005
The Legend of Tarzan,0.805062628,-0.355665746
School of Rock,0.681788536,0.54758626
The Diary of a Teenage Girl,1.33342366,-0.034591085
A Nightmare on Elm Street 2: Freddy's Revenge,1.140535508,0.140633011
Fame,0.978021398,-0.99980504
Two Weeks Notice,1.294143909,0.00762004
The Negotiator,0.927752394,1.094063496
Richard III,0.741367378,1.243031783
Curse of the Golden Flower,1.158589409,0.354104824
Another Year,0.852434859,0.336513177
Scream 3,0.561162394,-0.437814472
The Young Messiah,1.15832496,-1.120187482
Grown Ups 2,-2.470835335,-2.314281885
Mama,-0.681996536,-0.784333206
March or Die,0.344680981,1.572372273
Terminator Salvation,-1.036787387,-0.346343644
Four Brothers,1.299814816,0.40415098
Beverly Hills Cop II,-5.47847171,0.811622473
Willard,1.400753007,0.023202464
Peaceful Warrior,1.324623181,0.73568349
Free State of Jones,1.518039209,0.003061143
