movie_title,MDS_1,MDS_2
3:10 to Yuma ,1.98218464,-4.603568162
Message in a Bottle ,-3.358427553,2.34436077
Mission: Impossible II ,0.842804244,-4.557153825
Are We There Yet? ,-1.747721349,4.42996346
The Shawshank Redemption ,22.09747475,-5.107312718
They Live ,-1.535689461,0.043821038
Kangaroo Jack ,-0.984959589,4.749710828
Everyone Says I Love You ,7.171569458,1.916136963
All the Queen's Men ,0.588829106,5.485093523
Boiler Room ,-2.925965907,0.725645699
Birthday Girl ,-3.695695294,2.65683383
Full Frontal ,-2.060398629,4.427265216
Michael Clayton ,-0.196570353,-4.175675716
Behind Enemy Lines ,-3.621628271,0.490873315
Stolen Summer ,-2.252073,3.95477573
Gangster Squad ,3.606742565,-6.036762841
Things to Do in Denver When You're Dead ,-1.542702598,3.109317639
Take the Lead ,-3.717263073,1.501906044
The Great Raid ,-3.256198677,2.039611812
Bridget Jones: The Edge of Reason ,-4.158351041,0.874295711
Don Juan DeMarco ,-1.679590946,3.050695905
The Beyond ,-1.629045665,1.071573559
The Legend of Tarzan ,-1.010524237,-4.096815051
School of Rock ,-1.521224289,-2.637975613
The Diary of a Teenage Girl ,-3.9675637,-0.46932976
A Nightmare on Elm Street 2: Freddy's Revenge ,-3.200164468,3.134879829
Fame ,-4.132264984,2.474215468
Two Weeks Notice ,-3.990203816,0.976361252
The Negotiator ,-0.737139267,1.114547516
Richard III ,-0.937444487,2.511838946
Curse of the Golden Flower ,-3.20645087,-0.777093982
Another Year ,-2.197033539,-2.549179888
Scream 3 ,-3.552194235,-1.574984422
The Young Messiah ,-1.640686077,4.74640597
Grown Ups 2 ,-2.255629392,-2.770911188
Mama ,3.12314495,-5.675842218
March or Die ,2.321217281,4.439589955
Terminator Salvation ,5.458062389,-6.497643158
Four Brothers ,-3.088640088,-0.258775993
Beverly Hills Cop II ,9.038329666,1.847778747
Willard ,-3.980922873,1.896901697
Peaceful Warrior ,-2.309710379,2.349475261
Free State of Jones ,-3.979962111,1.289846209
Faithful ,-0.893944815,4.743023164
Zodiac ,20.90600703,-1.785600298
The Mortal Instruments: City of Bones ,-2.311139548,-3.095221026
The DUFF ,-4.112258351,-0.090674931
Caddyshack ,10.95296042,2.025828701
Hustle & Flow ,-2.777639468,-0.394349549
Clueless ,-2.287871744,1.668618674
Cube ,-1.67250665,0.494852166
Snitch ,-2.583464211,-2.853805321
Yogi Bear ,-0.176616511,2.481755001
Wanted ,2.186286668,-5.480118562
War of the Worlds ,16.67377101,-4.387149325
In the Bedroom ,-1.402906446,-1.306112029
The Lost City ,-2.767277752,2.718636968
The Five-Year Engagement ,-3.004540391,-2.391858241
