movie_title,PC_1,PC_2
Clash of the Titans,0.189736767,-0.187235649
The Three Musketeers,0.028725196,-0.135947565
Kill List,0.001917689,-0.113600937
Georgia Rule,-0.139817909,-0.029478844
Hotel Transylvania,0.205104172,-0.131337051
Punisher: War Zone,-0.077565032,-0.058738744
House of Wax,-0.024289386,-0.115062486
Seven Years in Tibet,-0.068743405,0.104607264
Play It to the Bone,-0.19355796,0.004385486
The Best of Me,-0.074247985,-0.021979718
Crossroads,-0.241069914,-0.154065549
School Daze,-0.228132963,0.103715594
Hero,0.15630449,0.003846705
As Good as It Gets,0.121946683,0.095672832
Die Another Day,0.152053581,-0.077252141
The Perfect Host,-0.095273503,-0.01490739
Urbania,-0.150576505,0.090562682
Sydney White,-0.139609309,0.000970868
The Four Feathers,-0.092677348,0.031655845
The Scorpion King,-0.053037387,-0.071182569
Sahara,-0.024667749,-0.048530685
Disturbia,0.111359409,-0.058993162
Almost Famous,0.125526471,0.106219813
Out Cold,-0.182448546,0.040462047
Freddy vs. Jason,0.065629323,-0.118525037
Critical Care,-0.215663403,0.059693654
Annabelle,0.045050211,-0.207613329
Madagascar: Escape 2 Africa,0.034679385,-0.047890957
Margaret,-0.059735851,0.005611824
This Is the End,0.386000976,-0.252204498
Alexander,0.106646236,-0.07390399
Opal Dream,-0.189190134,0.038435318
Detention of the Dead,-0.278778828,-0.100823848
The Last Emperor,0.005449973,0.255393132
12 Years a Slave,0.559621205,-0.22026048
Finding Forrester,0.011887493,0.088268061
Panic Room,0.373482974,0.529259136
Sabotage,-0.020968002,-0.139396668
The Lake House,0.019661103,-0.025877382
Red Eye,0.036173483,-0.069006381
Witless Protection,-0.347082048,-0.154575868
A Nightmare on Elm Street 5: The Dream Child,-0.206986319,0.017706917
Crazy Heart,0.097025958,-0.057989198
Caravans,-0.21727884,0.207897083
The Rookie,-0.05168408,0.057038704
Trance,0.178304246,-0.171512337
Flyboys,-0.056823942,0.008308458
Kick-Ass,0.397837711,-0.112911233
AVP: Alien vs. Predator,0.080337572,-0.098855821
Fuel,-0.128281369,0.095849007
Inside Man,0.168816689,0.001656951
Real Women Have Curves,-0.120690731,0.052500516
Ca$h,-0.190532571,-0.002838214
The Possession,0.016013487,-0.159492365
Wicker Park,-0.068804143,0.046060851
The Client,-0.112481668,0.117860961
Big Momma's House 2,-0.212634991,-0.085653786
Jindabyne,-0.138313121,0.01491138
Spice World,-0.327663303,-0.087852804
Over the Hill to the Poorhouse,-0.384961837,0.411197099
Cry Freedom,-0.129451017,0.21101443
The Lovely Bones,0.145214413,-0.104621523
A Hard Day's Night,-0.094586765,0.267946733
Undercover Brother,-0.159247647,-0.013891702
Escape from New York,0.004337987,0.113377416
27 Dresses,-0.021327236,-0.064428947
Riding in Cars with Boys,-0.096251457,0.051068681
Agora,0.034215401,-0.002266817
The House of the Devil,-0.005298582,-0.089445717
Tadpole,-0.156047824,0.015119666
Very Bad Things,-0.099956096,0.042655496
Larry Crowne,0.16435443,0.288031947
Julie & Julia,0.105043265,-0.071177383
Alvin and the Chipmunks: Chipwrecked,-0.184793702,-0.144317948
Barbershop 2: Back in Business,-0.177807503,-0.009205753
Lost Souls,-0.198879737,-0.041878238
Bless the Child,-0.178693403,-0.039713626
Grudge Match,0.009626433,-0.100774222
The Ladykillers,0.005134545,-0.031432072
Disaster Movie,-0.318712247,-0.254465782
Jason Bourne,0.142275965,-0.10297827
Planet 51,-0.07287862,-0.074844234
The Fast and the Furious,0.152488341,-0.021376429
Survival of the Dead,-0.062372576,-0.187854234
Going the Distance,-0.057398388,-0.066150219
Sparkle,-0.155713504,-0.060387993
Willard,-0.108329437,-0.015601719
Mr. & Mrs. Smith,0.179228624,-0.0524402
Alien 3,0.319507058,0.590813553
The Great Gatsby,0.490338729,-0.197003021
Gangster Squad,0.232109341,-0.194965165
42nd Street,-0.174598227,0.449749799
Kevin Hart: Let Me Explain,-0.165331733,-0.000569521
The Conjuring 2,0.208802661,-0.095093579
Harry Potter and the Order of the Phoenix,0.372596494,-0.063498009
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,-0.156973534,0.058048168
Dangerous Liaisons,-0.070210365,0.191574926
Kill the Messenger,-0.015430599,-0.04898447
Idlewild,-0.137436662,-0.000224285
Secretary,-0.006012317,0.015649364
The Monuments Men,0.17300015,-0.216622815
From Dusk Till Dawn,0.056342329,0.057972455
Diary of the Dead,-0.00746478,-0.141332428
Point Break,-0.07387652,-0.152306056
Austin Powers in Goldmember,0.079619826,-0.056442788
Escape Plan,0.1250705,-0.1250267
Life as a House,-0.02966364,0.084762395
The Beach,-0.022703689,0.036193427
W.,0.02825268,-0.079545434
Happy Gilmore,-0.067317436,0.091032664
A Christmas Carol,0.136277697,-0.116943571
The Long Kiss Goodnight,-0.078800599,0.075681967
A Low Down Dirty Shame,-0.230616729,0.077673931
Major Dundee,-0.158988918,0.286526692
Interview with the Vampire: The Vampire Chronicles,0.088294183,0.107249973
Spirit: Stallion of the Cimarron,-0.05692291,0.027740412
Ip Man 3,-0.082727933,-0.000797371
A Nightmare on Elm Street,0.107702496,0.078646188
Central Intelligence,0.017864746,-0.096900118
Sweet Sweetback's Baadasssss Song,-0.25954685,0.160962726
Daylight,-0.15990126,0.04831546
The Manchurian Candidate,0.041589931,-0.020693427
Stop-Loss,-0.054988831,-0.034981601
Out of Africa,-0.052173969,0.1980765
The Craft,-0.12454405,0.037740149
The Kingdom,0.072985539,-0.027932034
Conan the Barbarian,-0.008598684,0.134998274
Get Rich or Die Tryin',-0.16111694,-0.059128288
Four Weddings and a Funeral,-0.062191863,0.111036496
30 Minutes or Less,-0.021093477,-0.114691105
A View to a Kill,-0.090934141,0.104761983
Hit and Run,-0.066215193,-0.094955537
Ira & Abby,-0.178605901,0.033334414
Beyond the Valley of the Dolls,-0.16871583,0.174196742
Monsters vs. Aliens,0.070883119,-0.092509839
Sin City: A Dame to Kill For,0.167118626,-0.185149032
The Village,0.194853465,-0.076946549
Snow White and the Seven Dwarfs,-0.012745479,0.376541298
Ice Age: Continental Drift,0.091451078,-0.115666315
Caddyshack,0.046837487,0.483360071
The Campaign,0.050597404,-0.141052682
Big Trouble in Little China,0.002761203,0.095189596
The Lazarus Effect,-0.126973372,-0.151255838
Warm Bodies,0.296272115,-0.225874253
Bad Grandpa,0.005917977,-0.07184496
Trust the Man,-0.16400154,-0.036128246
Wild Target,-0.116678783,0.013626172
Land of the Dead,0.027221358,-0.094638386
An Everlasting Piece,-0.192444304,0.061719919
Sky Captain and the World of Tomorrow,-0.008908707,-0.061346618
Flipped,-0.046668038,0.036872095
March or Die,-0.237189266,0.189304111
Freddy's Dead: The Final Nightmare,-0.197833782,-0.006991969
Last Action Hero,-0.100150606,0.08207133
Auto Focus,-0.112736753,0.033304436
The Perfect Man,-0.188940109,-0.031956873
Batman & Robin,-0.065398126,-0.118947899
Wish I Was Here,-0.055394786,-0.056833498
Son of God,-0.120556887,-0.044446562
Double Jeopardy,-0.042101002,0.012083947
The Pink Panther,-0.074222977,-0.072630615
Spider-Man,0.470440281,-0.057106453
Psycho,0.399639564,0.592094175
Premium Rush,0.041455194,-0.115165177
Inside Llewyn Davis,0.327973976,-0.196228191
Catch a Fire,-0.106484735,0.007877596
Alien,0.400746341,0.097873523
The Lost City,-0.123779718,0.059657566
The Hoax,-0.063466862,0.009336594
The Crazies,0.08343752,-0.128003156
He's Just Not That Into You,0.0069885,-0.047889436
Taxi to the Dark Side,-0.095501284,0.046893341
Breaking Upwards,-0.205382221,0.003066085
Minions,0.246395341,-0.212058178
Warrior,0.304774078,-0.052571894
Held Up,-0.275986649,0.002690463
Dope,0.020887262,-0.054805825
50 First Dates,0.054958764,-0.00383981
Yes,-0.123290476,0.044096846
Love Jones,-0.145049426,0.135390423
Hanna,0.23841248,-0.170602338
In the Heart of the Sea,0.139101869,-0.067677108
Victor Frankenstein,-0.072791778,-0.101071719
Yentl,-0.182851903,0.179174074
The Animal,-0.210860976,-0.05816173
Mad Max Beyond Thunderdome,-0.098058248,0.106088731
Johnson Family Vacation,-0.270409223,-0.082352122
Jay and Silent Bob Strike Back,0.039741606,0.001173023
Harold & Kumar Escape from Guantanamo Bay,-0.030215815,-0.033489613
Mirrormask,-0.084276595,0.018364501
Half Past Dead,-0.247913856,-0.055502598
Joe Somebody,-0.205529556,-0.005997539
Mission: Impossible - Ghost Protocol,0.409905451,-0.140730027
Reservoir Dogs,0.418190784,0.566343967
Blue Car,-0.166467285,0.054024424
Invictus,0.362452791,0.354697172
Strange Wilderness,-0.212169386,-0.059327071
Beloved,-0.124095628,0.063054624
Hot Pursuit,-0.1279628,-0.153215952
My Soul to Take,-0.147179232,-0.138125371
The Spectacular Now,0.042540382,-0.072184809
Under Siege 2: Dark Territory,-0.207493712,0.019774375
Transformers: Revenge of the Fallen,0.373170842,-0.176681667
Are We There Yet?,-0.20445961,-0.088405394
Radio,-0.088575552,0.049053448
Light It Up,-0.202466474,0.037724134
Alien: Resurrection,0.045279565,-0.021643052
Zero Effect,-0.108192283,0.084191027
Soul Surfer,-0.039228657,-0.006386157
My Big Fat Greek Wedding 2,-0.059993079,-0.118668725
White House Down,0.186481486,-0.145478286
Elysium,0.37664634,-0.228012707
Take the Lead,-0.08392242,0.014946816
The Shaggy Dog,-0.219792321,-0.102262239
R.I.P.D.,-0.019823156,-0.150505567
About Last Night,-0.123911324,-0.061826186
Tremors,-0.04583829,0.090930165
Mercury Rising,-0.134479078,0.032931503
Faithful,-0.233337499,0.059797687
Diary of a Mad Black Woman,-0.164802364,-0.018586736
Up Close & Personal,-0.172893545,0.07116382
Sherrybaby,-0.136741306,0.01522566
Raise Your Voice,-0.176061585,0.00730969
A Simple Plan,-0.017763656,0.087814562
The Big Wedding,-0.104046963,-0.118944199
Unfriended,0.005133967,-0.18425475
Cats & Dogs,-0.145670191,-0.055697036
Aliens,0.294171221,0.146937835
Boogie Nights,0.074853537,0.112396997
Cape Fear,0.205689271,0.569409188
Percy Jackson: Sea of Monsters,-0.008488259,-0.1212133
Jackass 3D,0.007195991,-0.023711469
Wanted,0.220298942,-0.104275103
Walk the Line,0.253843266,0.005750647
Moulin Rouge!,0.237247203,0.057583188
The Proposition,-0.00347768,0.022103499
Peeples,-0.223350816,-0.074305542
Trade,-0.082323197,0.070424308
Hercules,0.0527479,-0.142520569
The Howling,-0.080974357,0.102377593
Sanctum,-0.001510982,-0.133259722
The Negotiator,-0.037909326,0.125788362
My Girl,-0.141540196,0.125774682
Snowpiercer,0.321997955,-0.204656954
Maid in Manhattan,-0.126616818,-0.062623096
House on Haunted Hill,-0.094655502,-0.03979669
Poltergeist,0.076365944,0.115221331
The Cave,-0.148268382,-0.092238074
Bride of Chucky,-0.15862901,-0.033129259
Back to the Future Part III,0.025636678,0.132503509
The Diary of a Teenage Girl,-0.037777766,-0.061526602
Four Brothers,-0.013515881,0.020820339
Epic,0.04361926,-0.089443796
2046,0.02848962,0.024763495
The Thing,0.210610192,0.108780373
The Limey,-0.083168644,0.055444185
The Tuxedo,-0.168588437,-0.034613115
Final Destination 2,-0.023584577,-0.040155106
Thirteen Days,0.013776057,0.060349129
Madadayo,-0.131633172,0.172666796
My Cousin Vinny,-0.064098412,0.150952585
Precious,0.154245054,-0.085466286
Phenomenon,-0.105388797,0.078476129
Planet of the Apes,0.273421183,0.261640405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
